apt_code,name,type,road_addr,local1,local2,local3,local4,gene_type,apt_gene,apt_const,apt_area,apt_parking,x,y,car_road,train_n,bus_n,admin,medical,culture,eschool_n,kinder_n,d_center_n,edu_n,bank,mart,convin,cluster
A15679103,우리유앤미,아파트,서울특별시 동작구 서달로 83,서울,동작구,흑석동,우리유앤미아파트,분양,206,우리건설,15827.0,223.0,126.9596386,37.5006676,2.0,0.0,5.0,8.0,12.0,1.0,2.0,1.0,12.0,6.0,6.0,1.0,4.0,3
A13876112,송파파인타운13단지,아파트,서울특별시 송파구 송파대로8길 10,서울,송파구,장지동,857,분양,197,양우건설(주),16720.0,225.0,127.1291789,37.4768967,2.0,1.0,5.0,1.0,9.0,2.0,1.0,5.0,19.0,12.0,2.0,0.0,0.0,2
A13873701,오금현대백조(임대),아파트,서울특별시 송파구 양재대로72길 20,서울,송파구,오금동,20-2,임대,153,현대건설,4743.0,60.0,127.1287745,37.5089058,2.0,1.0,6.0,4.0,12.0,3.0,3.0,3.0,5.0,164.0,7.0,0.0,3.0,3
A15275101,개봉건영,아파트,서울특별시 구로구 고척로21나길 85-6,서울,구로구,개봉동,47-1,분양,209,건영종합건설,16894.0,0.0,126.8406749,37.5011622,2.0,0.0,4.0,3.0,2.0,4.0,2.0,5.0,18.0,10.0,4.0,2.0,4.0,2
A13991016,월계동원베네스트,아파트,서울특별시 노원구 월계로53길 21,서울,노원구,월계동,서울시 노원구 월계2동 940번지,분양,205,(주)동원건설,14796.0,206.0,127.0582196,37.631732,1.0,1.0,7.0,4.0,6.0,3.0,5.0,8.0,16.0,7.0,0.0,1.0,2.0,6
A13789201,양재우성KBS(113동),아파트,서울특별시 서초구 바우뫼로 91,서울,서초구,양재동,160-2,분양,150,우성건설,12704.0,137.0,127.0290739,37.4775008,5.0,0.0,0.0,3.0,0.0,3.0,2.0,3.0,1.0,6.0,2.0,0.0,1.0,2
A13486701,천호삼익,아파트,서울특별시 강동구 상암로12길 13,서울,강동구,천호동,288-5,분양,150,삼익건설(주),11793.0,152.0,127.1284727,37.5485886,4.0,1.0,7.0,8.0,20.0,2.0,4.0,4.0,17.0,26.0,3.0,2.0,10.0,4
A14319001,자양경남아너스빌,아파트,서울특별시 광진구 자양로3길 55,서울,광진구,자양동,경남아너스빌,분양,150,대아건설,10974.0,132.0,127.083991,37.5294321,3.0,0.0,0.0,3.0,8.0,0.0,4.0,5.0,26.0,23.0,1.0,2.0,2.0,2
A12208101,신사성원,아파트,,서울,은평구,신사동,360,분양,150,성원건설,10592.0,164.0,126.9133122,37.6004574,0.0,1.0,5.0,6.0,14.0,3.0,2.0,6.0,32.0,45.0,1.0,4.0,6.0,1
A15809001,신월대방샤인힐,아파트,서울특별시 양천구 신월로9길 37,서울,양천구,신월동,서울 양천구 신월4동 1017,분양,150,대방건설,10679.0,149.0,126.8384999,37.5204711,3.0,0.0,10.0,6.0,19.0,2.0,4.0,6.0,37.0,50.0,4.0,2.0,6.0,1
A13820001,문정3차푸르지오,아파트,서울특별시 송파구 송이로 257,서울,송파구,문정동,문정3차대우아파트,분양,150,(주)대우건설,12744.0,193.0,127.1332779,37.4871243,1.0,0.0,10.0,3.0,3.0,3.0,3.0,4.0,29.0,15.0,1.0,2.0,0.0,2
A13790701,잠원한신그린,아파트,서울특별시 서초구 신반포로33길 71,서울,서초구,잠원동,잠원한신그린아파트,분양,150,한신공영(주),12734.0,136.0,127.0078749,37.5133709,7.0,1.0,5.0,3.0,5.0,0.0,2.0,3.0,17.0,9.0,6.0,4.0,1.0,3
A13402202,천호e-편한세상,아파트,서울특별시 강동구 올림픽로81길 15,서울,강동구,천호동,관리사무소,분양,150,,13829.0,198.0,127.1243522,37.5443727,4.0,0.0,2.0,6.0,14.0,1.0,2.0,3.0,11.0,11.0,5.0,4.0,4.0,3
