Unnamed: 0,apt_code,name,type,road_addr,local1,local2,local3,local4,gene_type,apt_gene,apt_const,apt_area,apt_parking,x,y,car_road,train_n,bus_n,admin,medical,culture,eschool_n,kinder_n,d_center_n,edu_n,bank,mart,convin,cluster
1395,A13610107,길음뉴타운 경남아너스빌,아파트,서울특별시 성북구 정릉로 305,서울,성북구,정릉동,,분양,860,경남기업(주),67322.0,802.0,127.0171534,37.6043325,1.0,3.0,93.0,6.0,35.0,0.0,4.0,13.0,93.0,139.0,7.0,4.0,34.0,0
2199,A12172401,마포자이2차,아파트,서울특별시 마포구 서강대길 40,서울,마포구,대흥동,마포자이2차,,558,GS건설(주),46061.0,758.0,126.9410747,37.5492559,0.0,3.0,81.0,7.0,30.0,0.0,3.0,6.0,33.0,166.0,7.0,1.0,46.0,0
918,A13608301,보문아이파크,아파트,서울특별시 성북구 지봉로21길 19,서울,성북구,보문동3가,보문아이파크,분양,431,현대산업개발,33820.0,483.0,127.0166232,37.5855901,0.0,3.0,77.0,6.0,26.0,0.0,4.0,8.0,34.0,75.0,9.0,4.0,42.0,0
74,A13609001,종암우림카이저팰리스,주상복합,서울특별시 성북구 종암로 132,서울,성북구,종암동,132번지,분양,161,우림건설,13656.0,218.0,127.0334853,37.6018897,0.0,2.0,83.0,7.0,42.0,0.0,3.0,7.0,72.0,98.0,6.0,2.0,36.0,0
1009,A13402103,천호우성,아파트,서울특별시 강동구 구천면로 366,서울,강동구,천호동,19-1,분양,479,우성건설,33844.0,220.0,127.1388427,37.549769,0.0,2.0,52.0,7.0,48.0,1.0,3.0,5.0,85.0,141.0,7.0,1.0,47.0,0
2133,B13003001,답십리한화,,,서울,동대문구,답십리1동,서울 동대문구 답십리1동994,,146,한화건설,,168.0,127.0540053,37.5669286,0.0,3.0,42.0,8.0,33.0,0.0,4.0,7.0,44.0,44.0,7.0,2.0,44.0,0
1056,A13606102,돈암범양,아파트,서울특별시 성북구 정릉로 402-16,서울,성북구,돈암동,631번지,분양,499,범양건영(주),40840.0,0.0,127.0280209,37.603349,1.0,1.0,85.0,7.0,43.0,1.0,2.0,5.0,80.0,122.0,7.0,8.0,32.0,0
1964,A13611008,길음뉴타운8단지,아파트,서울특별시 성북구 길음로 33,서울,성북구,길음동,길음뉴타운8단지,분양,1497,삼성물산 주식회사,120962.0,1750.0,127.0179788,37.6074358,0.0,3.0,68.0,6.0,34.0,0.0,4.0,10.0,93.0,115.0,8.0,4.0,33.0,0
916,A13305006,마장삼성,아파트,서울특별시 성동구 마장로 271,서울,성동구,마장동,817,분양,430,삼성건설(주),35039.0,454.0,127.0402374,37.5661691,0.0,6.0,76.0,5.0,36.0,1.0,4.0,8.0,31.0,32.0,10.0,2.0,35.0,0
1447,A13611005,길음래미안3차,아파트,서울특별시 성북구 길음로 16,서울,성북구,길음동,1283번지,분양,977,삼성물산,80165.0,1257.0,127.0229072,37.6062699,1.0,1.0,71.0,8.0,37.0,0.0,3.0,8.0,93.0,125.0,5.0,9.0,32.0,0
1629,A15106901,"봉천두산1,2단지",아파트,서울특별시 관악구 봉천로 387,서울,관악구,봉천동,두산아파트,분양,2001,두산,166397.0,2457.0,126.9431459,37.4848788,0.0,1.0,82.0,6.0,36.0,0.0,4.0,8.0,67.0,110.0,5.0,3.0,71.0,0
2309,A10028056,북한산힐스테이트7차제2 (임대),아파트,서울특별시 은평구 통일로 792,서울,은평구,불광동,116동,임대,188,현대건설(주),7083.0,192.0,126.9269016,37.61558755,0.0,5.0,74.0,4.0,53.0,2.0,4.0,5.0,50.0,62.0,11.0,4.0,37.0,0
2057,A13307002,서울숲행당푸르지오,아파트,서울특별시 성동구 고산자로 177,서울,성동구,행당동,서울숲행당푸르지오아파트 관리사무소(104동옆),분양,457,대우건설,35459.0,539.0,127.0331791,37.5554384,0.0,4.0,125.0,6.0,30.0,0.0,3.0,6.0,60.0,100.0,4.0,0.0,34.0,0
1017,A15609003,사당휴먼시아,아파트,서울특별시 동작구 사당로16길 96,서울,동작구,사당동,1154,분양,480,(주)서희건설,38308.0,527.0,126.9702595,37.4790915,1.0,2.0,41.0,7.0,38.0,0.0,4.0,6.0,51.0,62.0,4.0,2.0,55.0,0
47,A15007101,대림갑을명가,아파트,서울특별시 영등포구 대림로22길 29,서울,영등포구,대림동,대림동갑을명가아파트,분양,157,갑을건설(주),13326.0,181.0,126.9036771,37.4956182,0.0,2.0,86.0,6.0,57.0,0.0,3.0,7.0,56.0,45.0,8.0,2.0,35.0,0
1930,A15096001,신길자이,아파트,서울특별시 영등포구 가마산로79길 19,서울,영등포구,신길동,,분양,198,GS건설,16004.0,226.0,126.9165908,37.506462,0.0,2.0,101.0,6.0,31.0,0.0,3.0,6.0,71.0,98.0,7.0,3.0,38.0,0
76,A13880602,가락우성2차아파트,아파트,서울특별시 송파구 중대로12길 35,서울,송파구,가락동,120-4,분양,162,우성건설,11491.0,156.0,127.1255185,37.4918819,0.0,4.0,55.0,4.0,43.0,1.0,5.0,5.0,48.0,85.0,14.0,2.0,39.0,0
1659,A15701003,우장산아이파크이편한세상,아파트,서울특별시 강서구 강서로 266,서울,강서구,화곡동,,분양,2517,"현대산업개발, 대림산업",215891.0,3250.0,126.8404024,37.5488035,0.0,2.0,56.0,6.0,57.0,1.0,3.0,7.0,66.0,196.0,8.0,2.0,45.0,0
2739,A10023372,BX201 청년주택,,,서울,관악구,봉천동,,임대,201,강남건영(주),4158.0,,126.9533507,37.47973232,0.0,1.0,57.0,5.0,53.0,0.0,5.0,5.0,35.0,60.0,10.0,2.0,75.0,0
1971,A13606005,동소문한진임대,아파트,서울특별시 성북구 성북로4길 52,서울,성북구,돈암동,609-1,임대,580,한진,18844.0,96.0,127.0102405,37.5949161,0.0,2.0,108.0,6.0,40.0,1.0,3.0,8.0,39.0,132.0,9.0,3.0,47.0,0
1688,A13606004,돈암한신한진아파트,아파트,서울특별시 성북구 성북로4길 52,서울,성북구,돈암동,609-1,분양,3929,"한신공영(주), 한진중공업(주)",387755.0,4564.0,127.0102405,37.5949161,0.0,2.0,108.0,6.0,40.0,1.0,3.0,8.0,39.0,132.0,9.0,3.0,47.0,0
2393,A10026881,서울역센트럴자이아파트,아파트,서울특별시 중구 만리재로 175,서울,중구,만리동2가,서울특별시 중구 만리재로175,,1341,GS건설주식회사,91297.0,1547.0,126.9630956,37.55460908,0.0,6.0,69.0,5.0,38.0,2.0,3.0,2.0,41.0,42.0,9.0,4.0,33.0,0
302,A12101001,서서울삼성아파트,아파트,서울특별시 마포구 마포대로 262,서울,마포구,아현동,서서울삼성아파트,분양,208,삼성중공업(주),14636.0,175.0,126.9591333,37.5563617,0.0,4.0,74.0,6.0,37.0,1.0,4.0,3.0,49.0,53.0,10.0,2.0,28.0,0
1751,A13671206,종암아이파크1차,아파트,서울특별시 성북구 종암로21길 127,서울,성북구,종암동,종암아이파크1차아파트,분양,513,현대산업개발,40222.0,576.0,127.0298689,37.6025494,1.0,1.0,88.0,7.0,48.0,1.0,2.0,7.0,75.0,117.0,7.0,8.0,34.0,0
886,A15603002,브라운스톤상도,아파트,서울특별시 동작구 상도로31길 19,서울,동작구,상도동,527,분양,415,이수건설,32498.0,459.0,126.9437593,37.5059773,0.0,2.0,87.0,6.0,42.0,0.0,3.0,8.0,63.0,86.0,6.0,0.0,47.0,0
2146,A12204005,북한산래미안아파트(임대),아파트,서울특별시 은평구 불광로2길 41,서울,은평구,불광동,북한산 힐스테이트 7차,임대,135,삼성물산,5079.0,148.0,126.9267737,37.6166044,0.0,5.0,73.0,3.0,48.0,2.0,5.0,5.0,44.0,60.0,10.0,2.0,35.0,0
1886,A12070101,돈의문센트레빌,아파트,서울특별시 서대문구 독립문로14길 33,서울,서대문구,냉천동,관리사무소,분양,561,동부건설,47566.0,683.0,126.9613516,37.5662487,1.0,3.0,111.0,5.0,32.0,0.0,4.0,1.0,32.0,34.0,14.0,0.0,28.0,0
804,A15081802,대림한신2차,아파트,서울특별시 영등포구 디지털로69길 16,서울,영등포구,대림동,대림동2차한신아파트,분양,234,한신공영,18324.0,287.0,126.9043881,37.4947769,0.0,2.0,78.0,6.0,61.0,0.0,3.0,8.0,59.0,54.0,7.0,2.0,35.0,0
2015,A13075404,답십리동아제2,아파트,서울특별시 동대문구 한천로11길 10,서울,동대문구,답십리동,답십리동아임대아파트,임대,492,동아건설,15631.0,116.0,127.061107,37.5682471,0.0,2.0,52.0,7.0,48.0,1.0,3.0,7.0,44.0,58.0,11.0,1.0,63.0,0
2196,A15095002,신대림신동아파밀리에,아파트,서울특별시 영등포구 도림로54길 14,서울,영등포구,대림동,신대림신동아파밀리에아파트,분양,185,신동아건설,15739.0,221.0,126.9027247,37.4950646,0.0,2.0,89.0,6.0,58.0,0.0,3.0,6.0,53.0,41.0,8.0,2.0,40.0,0
274,A15701002,우장산에스케이뷰,아파트,서울특별시 강서구 우현로 26,서울,강서구,화곡동,1158번지,분양,203,,18559.0,265.0,126.8430656,37.5481674,0.0,2.0,59.0,6.0,51.0,1.0,3.0,6.0,73.0,143.0,10.0,2.0,40.0,0
2079,A12275202,북한산힐스테이트7차,아파트,서울특별시 은평구 통일로 796,서울,은평구,불광동,643,분양,882,현대건설,78306.0,0.0,126.9268481,37.6161545,0.0,5.0,71.0,4.0,48.0,2.0,5.0,5.0,49.0,60.0,10.0,4.0,36.0,0
1514,A13403101,성내삼성,아파트,서울특별시 강동구 풍성로38길 22,서울,강동구,성내동,성내동삼성아파트,분양,1220,삼성물산(주),97618.0,1245.0,127.1245822,37.5311547,0.0,2.0,55.0,6.0,49.0,0.0,4.0,3.0,68.0,72.0,10.0,1.0,60.0,0
2232,A10027920,텐즈힐1단지,아파트,서울특별시 성동구 무학로 33,서울,성동구,하왕십리동,33 텐즈힐1단지,분양,1369,"gs건설,삼성건설,대림,현대산업",129090.0,2055.0,127.0295235,37.56734381,1.0,1.0,70.0,7.0,48.0,0.0,4.0,8.0,48.0,66.0,12.0,2.0,51.0,0
2253,A10027969,왕십리텐즈힐1단지(임대),아파트,서울특별시 성동구 무학로 33,서울,성동구,하왕십리동,텐즈힐1단지 임대,임대,333,대림산업,12141.0,294.0,127.0295235,37.56734381,1.0,1.0,70.0,7.0,48.0,0.0,4.0,8.0,48.0,66.0,12.0,2.0,51.0,0
2111,A13613012,길음서희스타힐스,주상복합,서울특별시 성북구 동소문로 284,서울,성북구,하월곡동,229,분양,198,서희건설,16084.0,325.0,127.0273295,37.6054073,0.0,1.0,81.0,6.0,42.0,0.0,3.0,6.0,81.0,124.0,7.0,12.0,36.0,0
407,A13486102,천호금호,아파트,서울특별시 강동구 양재대로 1557,서울,강동구,천호동,44번지,분양,232,금호건설,6406.0,37.0,127.142214,37.5448169,0.0,2.0,63.0,6.0,54.0,1.0,4.0,5.0,73.0,117.0,7.0,1.0,41.0,0
152,A13183701,아남리치카운티,아파트,서울특별시 중랑구 겸재로29길 27,서울,중랑구,면목동,1505,분양,178,아남건설,13793.0,191.0,127.0849955,37.5892249,0.0,2.0,57.0,8.0,51.0,0.0,3.0,6.0,45.0,44.0,5.0,1.0,59.0,0
2352,A10027472,상도효성해링턴플레이스,아파트,서울특별시 동작구 상도로 207,서울,동작구,상도동,B1 관리사무소,,202,(주)효성,15804.0,203.0,126.9421487,37.50579199,0.0,2.0,85.0,6.0,41.0,0.0,3.0,8.0,65.0,83.0,6.0,0.0,47.0,0
2538,A10025003,마포그랑자이아파트,아파트,서울특별시 마포구 대흥로 175,서울,마포구,대흥동,,,1248,GS건설,87305.0,1437.0,126.94451,37.55557,0.0,3.0,69.0,3.0,49.0,0.0,6.0,6.0,35.0,60.0,7.0,1.0,48.0,0
1543,A12285703,불광미성,아파트,서울특별시 은평구 통일로 780,서울,은평구,불광동,248,분양,1340,라이프주택건설(주),109700.0,790.0,126.9283299,37.6149349,0.0,5.0,70.0,4.0,53.0,1.0,4.0,5.0,50.0,51.0,9.0,4.0,26.0,0
2337,A13606006,길음현대,아파트,,서울,성북구,길음동,,분양,132,현대건설,7227.0,80.0,127.0196634,37.60792519,0.0,3.0,70.0,7.0,27.0,0.0,4.0,10.0,95.0,113.0,5.0,6.0,33.0,0
250,A13120001,면목마젤란,아파트,서울특별시 중랑구 겸재로30길 42,서울,중랑구,면목동,1531,분양,199,유진건설,15759.0,211.0,127.0841438,37.5868369,0.0,2.0,66.0,8.0,47.0,0.0,3.0,6.0,47.0,48.0,5.0,2.0,57.0,0
