Unnamed: 0,apt_code,name,type,road_addr,local1,local2,local3,local4,gene_type,apt_gene,apt_const,apt_area,apt_parking,x,y,car_road,train_n,bus_n,admin,medical,culture,eschool_n,kinder_n,d_center_n,edu_n,bank,mart,convin,cluster
2690,A10023891,청계푸르지오시티,도시형 생활주택(주상복합),,서울,동대문구,답십리동,,분양,298,대우건설(주),6547.0,324.0,127.050522,37.569139,0.0,4.0,49.0,5.0,34.0,1.0,5.0,7.0,55.0,64.0,9.0,2.0,42.0,0
763,A13085901,전농동아,아파트,서울특별시 동대문구 서울시립대로 31,서울,동대문구,전농동,,분양,360,동아건설,27072.0,308.0,127.0458375,37.5749667,0.0,6.0,64.0,5.0,40.0,2.0,2.0,2.0,37.0,21.0,10.0,6.0,38.0,0
576,A15190301,신림미성,아파트,서울특별시 관악구 조원로2길 13,서울,관악구,신림동,"신림동, 미성아파트",분양,280,라이프,22940.0,106.0,126.9034424,37.4824017,2.0,1.0,69.0,3.0,42.0,0.0,3.0,3.0,34.0,28.0,12.0,4.0,68.0,2
1310,A15601104,보라매롯데낙천대,아파트,서울특별시 동작구 여의대방로10길 38,서울,동작구,신대방동,713,분양,734,롯데건설,50899.0,732.0,126.9135893,37.4943002,0.0,3.0,66.0,4.0,35.0,1.0,4.0,8.0,53.0,59.0,4.0,1.0,34.0,3
2240,A10027906,공덕자이 아파트,아파트,서울특별시 마포구 마포대로24길 16,서울,마포구,아현동,16번지  공덕자이 아파트,분양,963,GS건설,80750.0,1164.0,126.9577854,37.5538259,0.0,2.0,63.0,5.0,38.0,1.0,4.0,2.0,49.0,61.0,9.0,2.0,36.0,0
1402,A15601105,신대방현대,아파트,서울특별시 동작구 여의대방로 28,서울,동작구,신대방동,707번지,분양,880,현대건설,74430.0,892.0,126.912997,37.4936403,0.0,3.0,70.0,4.0,39.0,1.0,4.0,8.0,56.0,55.0,4.0,1.0,33.0,3
1658,A15003002,영등포푸르지오,아파트,서울특별시 영등포구 도신로29길 28,서울,영등포구,영등포동,647-1 영등포푸르지오관리사무소,분양,2462,대우건설,186888.0,2554.0,126.9045485,37.5120598,0.0,1.0,91.0,7.0,39.0,1.0,4.0,7.0,42.0,43.0,9.0,5.0,49.0,0
733,A15083202,도림동아에코빌,아파트,서울특별시 영등포구 도림로 365,서울,영등포구,도림동,165-1 동아에코빌,분양,346,동아건설,28533.0,401.0,126.8987346,37.5091679,0.0,2.0,92.0,2.0,28.0,0.0,3.0,9.0,50.0,48.0,7.0,4.0,32.0,3
2726,A10023516,영등포자이르네,아파트,서울특별시 영등포구 시흥대로 625,서울,영등포구,대림동,,분양,212,자이에스앤디(주),10403.0,189.0,126.904871,37.488308,1.0,2.0,71.0,5.0,51.0,0.0,4.0,5.0,44.0,34.0,8.0,1.0,52.0,0
2292,A10027381,보라매 신동아파밀리에아파트,아파트,,서울특별시,영등포구,대림동,신대림2차 신동아파밀리에아파트,,247,신동아건설(주),19819.0,291.0,126.905101,37.493128,1.0,1.0,69.0,4.0,59.0,0.0,4.0,9.0,62.0,46.0,6.0,2.0,35.0,0
