,name,x,y
0,서울숭신초등학교,127.0280051,37.56768831
1,한양초등학교,127.0502634,37.55762103
2,세종초등학교,127.0728646,37.5530111
3,성동초등학교,127.089281,37.53328137
4,서울행현초등학교,127.029368,37.55770899
5,서울행당초등학교,127.0348734,37.55701913
6,서울중마초등학교,127.0790239,37.56579084
7,서울중광초등학교,127.082693,37.56524214
8,서울장안초등학교,127.0724025,37.54987645
9,서울자양초등학교,127.0801077,37.53683789
10,서울응봉초등학교,127.0338297,37.55025339
11,서울용마초등학교,127.0835274,37.55782735
12,서울용답초등학교,127.0537608,37.56072712
13,서울용곡초등학교,127.088453,37.56710862
14,서울옥정초등학교,127.0157855,37.54230974
15,서울옥수초등학교,127.0218696,37.54552939
16,서울양진초등학교,127.0983114,37.54457517
17,서울양남초등학교,127.0892343,37.53112324
18,서울신자초등학교,127.0755876,37.53024545
19,서울신양초등학교,127.0699953,37.53468209
20,서울송원초등학교,127.0695262,37.55415927
21,서울성자초등학교,127.0834083,37.53149357
22,서울성수초등학교,127.0628861,37.54433788
23,서울사근초등학교,127.0475738,37.56267971
24,서울무학초등학교,127.0296437,37.56327474
25,서울마장초등학교,127.0416051,37.56833887
26,서울동호초등학교,127.0098797,37.54629208
27,서울동자초등학교,127.0721792,37.53505821
28,서울동의초등학교,127.0990473,37.55342244
29,서울동명초등학교,127.0351082,37.56812285
30,서울금호초등학교,127.0207529,37.55189794
31,서울금옥초등학교,127.0174916,37.54630237
32,서울금북초등학교,127.0235565,37.55749549
33,서울구의초등학교,127.0803118,37.54300744
34,서울구남초등학교,127.0922888,37.53709659
35,서울광진초등학교,127.0913325,37.54761146
36,서울광장초등학교,127.1017999,37.54854922
37,서울광남초등학교,127.1007042,37.54096753
38,서울경일초등학교,127.0466051,37.5409419
39,서울경수초등학교,127.0580668,37.54043667
40,서울경동초등학교,127.050074,37.5438253
41,경복초등학교,127.0867934,37.54981386
42,중앙대학교사범대학부속초등학교,126.9596777,37.50545264
43,서울흑석초등학교,126.9651322,37.50829272
44,서울행림초등학교,126.9649643,37.48280761
45,서울청룡초등학교,126.9512846,37.47672527
46,서울조원초등학교,126.9095056,37.48412777
47,서울인헌초등학교,126.9598639,37.47675499
48,서울은천초등학교,126.9426791,37.4865852
49,서울은로초등학교,126.9599999,37.50314888
50,서울원신초등학교,126.9272409,37.46719824
51,서울원당초등학교,126.9558667,37.4813288
52,서울영화초등학교,126.9328548,37.50890003
53,서울영본초등학교,126.9486724,37.51129869
54,서울신우초등학교,126.9325353,37.46326397
55,서울신성초등학교,126.9367542,37.47200331
56,서울신상도초등학교,126.9446159,37.50034811
57,서울신봉초등학교,126.9491309,37.48557795
58,서울신림초등학교,126.9268767,37.47711985
59,서울신남성초등학교,126.96487,37.48815254
60,서울신길초등학교,126.9267292,37.51087166
61,서울상현초등학교,126.9526691,37.49487439
62,서울상도초등학교,126.9372695,37.50034777
63,서울삼일초등학교,126.9751885,37.48825931
64,서울삼성초등학교,126.9404929,37.46852204
65,서울사당초등학교,126.9733501,37.47383628
66,서울봉현초등학교,126.9553519,37.49121654
67,서울봉천초등학교,126.9581884,37.4832696
68,서울본동초등학교,126.9538508,37.50992508
69,서울보라매초등학교,126.9161445,37.49585189
70,서울미성초등학교,126.9123923,37.47833997
71,서울문창초등학교,126.9148407,37.48898483
72,서울동작초등학교,126.9765088,37.4941155
73,서울대림초등학교,126.9248833,37.50061445
74,서울당곡초등학교,126.9303698,37.49016812
75,서울노량진초등학교,126.9408242,37.51175038
76,서울남성초등학교,126.9754874,37.48459498
77,서울남사초등학교,126.9782341,37.48194349
78,서울남부초등학교,126.9221838,37.48511944
79,서울난향초등학교,126.9183368,37.46282189
80,서울난우초등학교,126.9174356,37.4771057
81,서울난곡초등학교,126.9163416,37.4691282
82,서울구암초등학교,126.9462717,37.48921747
83,서울관악초등학교,126.9425545,37.48102565
84,서울강남초등학교,126.9533591,37.50615814
85,서울위례솔초등학교,127.1507539,37.48673404
86,서울강빛초등학교,127.1707749,37.57434332
87,서울고현초등학교,127.1660501,37.55380394
88,서울해누리초등학교,127.1021242,37.49841159
89,서울강솔초등학교,127.1802671,37.56186962
90,서울위례별초등학교,127.1449717,37.47909577
91,서울한산초등학교,127.1410769,37.52869458
92,서울풍성초등학교,127.1134884,37.52629486
93,서울풍납초등학교,127.1175324,37.53529406
94,서울평화초등학교,127.1227005,37.49161834
95,서울토성초등학교,127.1157724,37.53189633
96,서울천호초등학교,127.1365923,37.54771897
97,서울천일초등학교,127.1334367,37.54436122
98,서울천동초등학교,127.1378287,37.5410159
99,서울중대초등학교,127.1136055,37.4998119
100,서울잠현초등학교,127.1047228,37.52258587
101,서울잠전초등학교,127.0838499,37.50733791
102,서울잠일초등학교,127.0816362,37.51474166
103,서울잠실초등학교,127.1107998,37.52014104
104,서울잠신초등학교,127.0879435,37.51414815
105,서울잠동초등학교,127.099931,37.51833846
106,서울위례초등학교,127.1394366,37.52231852
107,서울오륜초등학교,127.1345092,37.51242411
108,서울오금초등학교,127.1313923,37.50931825
109,서울영풍초등학교,127.1432147,37.49618624
110,서울아주초등학교,127.0752643,37.50576811
111,서울신천초등학교,127.0950483,37.5140111
112,서울신암초등학교,127.1244044,37.55002367
113,서울신명초등학교,127.1499791,37.54092685
114,서울신가초등학교,127.1197004,37.50032072
115,서울송파초등학교,127.1112318,37.50694364
116,서울송전초등학교,127.0951265,37.50882909
117,서울송례초등학교,127.1384959,37.47789403
118,서울세륜초등학교,127.1341633,37.51855781
119,서울성일초등학교,127.1284083,37.52970924
120,서울성내초등학교,127.1225001,37.53135786
121,서울선사초등학교,127.128196,37.55584691
122,서울선린초등학교,127.145594,37.52976012
123,서울석촌초등학교,127.1052081,37.50262568
124,서울상일초등학교,127.1726635,37.54757217
125,서울삼전초등학교,127.0932689,37.50169984
126,서울버들초등학교,127.0892746,37.5102185
127,서울방이초등학교,127.1204725,37.51343919
128,서울방산초등학교,127.1211807,37.50952568
129,서울문현초등학교,127.1302571,37.48279092
130,서울문정초등학교,127.1292062,37.48907741
131,서울문덕초등학교,127.1279558,37.48498018
132,서울묘곡초등학교,127.1530934,37.55871279
133,서울명일초등학교,127.1425911,37.5545536
134,서울명원초등학교,127.1505002,37.55128785
135,서울명덕초등학교,127.1450815,37.55676233
136,서울마천초등학교,127.1526295,37.49550545
137,서울둔촌초등학교,127.1374541,37.52621993
138,서울대명초등학교,127.1532701,37.54766615
139,서울남천초등학교,127.1507642,37.50144683
140,서울길동초등학교,127.1449729,37.53859168
141,서울고일초등학교,127.1694101,37.55154262
142,서울고명초등학교,127.1474362,37.55297253
143,서울고덕초등학교,127.1660799,37.56129361
144,서울거원초등학교,127.1449361,37.48762503
145,서울거여초등학교,127.1409329,37.50501352
146,서울개롱초등학교,127.1398881,37.49736261
147,서울강일초등학교,127.1772125,37.56525568
148,서울강명초등학교,127.1733745,37.55470604
149,서울강동초등학교,127.1301872,37.5463638
150,서울강덕초등학교,127.1604836,37.55954748
151,서울가주초등학교,127.1292804,37.49656722
152,서울가원초등학교,127.1110274,37.48944215
153,서울가락초등학교,127.1072149,37.49987464
154,서울가동초등학교,127.1300159,37.49741227
155,우촌초등학교,127.0114006,37.59564089
156,영훈초등학교,127.0280933,37.61468187
157,성신초등학교,127.0231286,37.59462268
158,매원초등학교,127.0191869,37.59767468
159,대광초등학교,127.0234459,37.57915104
160,광운초등학교,127.0550771,37.61906522
161,서울화계초등학교,127.0297162,37.62388498
