,name,x,y
0,서울숭인병원,127.0203524,37.57408054
1,서울대학교병원,126.9971964,37.58045239
2,세란병원,126.9577083,37.57533927
3,로이병원,126.9690062,37.60686264
4,서울대학교치과병원,126.9971964,37.58045239
5,강북삼성병원,126.9678127,37.56886773
6,서울적십자병원,126.9672025,37.56676301
7,서울지구병원,126.9824581,37.58744643
8,반도정형외과병원,127.0101104,37.5559932
9,더블유치과병원,127.0084727,37.56811569
10,유치과병원,127.0128582,37.5592822
11,라임나무치과병원,126.9847371,37.56399818
12,연세스위트치과병원,127.0217218,37.56604198
13,국립중앙의료원,127.0054846,37.56772646
14,인제대학교 서울백병원,126.98867,37.56482781
15,서울송도병원,127.0083817,37.5511666
16,한누리치과병원,126.9825456,37.56095755
17,광화문자생한방병원,126.9692224,37.56359556
18,참바로병원,127.0166238,37.56579485
19,금강아산병원(재단법인 아산사회복지재단),126.9827301,37.51767984
20,소화병원(의료법인 소화병원),126.9686725,37.55376869
21,순천향대학교 부속 서울병원,127.003878,37.53428084
22,연세바로척병원,127.0649106,37.54440228
23,한양대학교병원,127.0456282,37.55863654
24,학교법인대진교육재단 제인병원,127.0569437,37.54946127
25,서울연세병원,127.0361477,37.56064021
26,서울특별시장애인치과병원,127.0328083,37.56670859
27,9988병원,127.0374791,37.55860571
28,재단법인베스티안재단베스티안서울병원,127.0280198,37.56511028
29,연세슬기병원,127.030678,37.56427035
30,혜민병원,127.0833987,37.53543771
31,건국대학교병원,127.0720558,37.54123563
32,국립정신건강센터,127.0857766,37.56508623
33,연세무척나은병원,127.0808983,37.55626306
34,바른본병원,127.0771535,37.5535169
35,에스(S)리더치과병원,127.0705071,37.54033404
36,제니스병원,127.0864468,37.54651322
37,광진예치과병원,127.0797023,37.55673393
38,오석한방병원,127.0838518,37.53824698
39,서울프라임병원,127.0635902,37.54082666
40,엘치과병원,127.0578551,37.5739828
41,지혜병원,127.0659272,37.56162682
42,서울성심병원,127.0498198,37.58418905
43,삼육서울병원,127.0635533,37.58621194
44,경희대학교치과병원,127.0507417,37.59377621
45,경희대학교병원,127.0507417,37.59377621
46,경희대학교한방병원,127.0507417,37.59377621
47,멘토스병원,127.0616191,37.56656543
48,서울명병원,127.0379219,37.57738655
49,삼육치과병원,127.0635533,37.58621194
50,서울나은병원,127.0387314,37.57856929
51,영동병원,127.0585537,37.56324493
52,린여성병원,127.0698445,37.57228127
53,날개병원,127.0294987,37.58162714
54,참튼튼병원,127.0693591,37.57273278
55,맑은수병원,127.0655465,37.56388393
56,시카고치과병원,127.0235573,37.57500527
57,코리아병원,127.0715189,37.57319766
