name,y,x
(주)이마트명일점,37.5546134,127.1536615
(주)홈플러스 대방점,37.5122499,126.9262326
가든파이브 라이프,37.4855846,127.1225635
강북종합시장,37.6407404,127.0231016
개봉제일시장,37.4859978,126.8523763
개봉중앙시장,37.4923054,126.8539131
갤러리아팰리스 아케이드,37.5111034,127.0939188
고척시장,37.5028455,126.8636455
광성시장,37.5641831,127.0816798
구로시장,37.488456,126.8854431
길음시장,37.6027117,127.0217672
길음시장,37.6027117,127.0217672
길음시장,37.6035795,127.0227022
남서울종합시장,37.4936059,127.0597001
노룬산시장,37.5369471,127.0644873
논현종합시장,37.509849,127.0338281
눈스퀘어,37.5636503,126.9828329
대림시장,37.491793,126.9072251
대명합동시장,37.4546415,126.9016377
대신시장,37.5110334,126.917173
대조시장,37.6095021,126.9286815
도림시장,37.5099168,126.8980701
도봉한양프라자,37.6745497,127.0476765
동남시장,37.5205986,126.9056647
동대문종합시장,37.5701515,127.0074175
동대문종합시장 신관,37.5701515,127.0074175
동대문종합시장D동상가,37.5708543,127.0071261
동북시장,37.6202466,127.018795
동북프라자,37.6202466,127.018795
동소문스카이프라자,37.5956492,127.0117126
두산아케이드,37.5193536,127.0365755
두암종합시장,37.4952953,126.8980757
마천시장,37.4978746,127.1497564
마포종합시장(서강한화오벨리스크),37.5465933,126.9318228
목동시장아울렛,37.5382114,126.866754
미아시장,37.6059797,127.0277905
밀리오레,37.569309,127.0088308
방배종합시장,37.481982,126.9837482
방산종합시장,37.5686974,127.0008215
번동시장,37.6213187,127.0479402
보문시장,37.5829136,127.0213683
봉일시장,37.4860441,126.9390018
봉일시장,37.4860441,126.9390018
불광시장(주),37.6095021,126.9286815
삼구시장,37.5200987,126.9057478
삼정프라자,37.5733954,126.8108847
새석관시장,37.6067801,127.0520634
서부종합시장,37.6031933,126.9193598
서울남대문시장,37.5593756,126.9775055
서울중앙시장,37.5667808,127.0198047
서울특별시장,37.5720013,127.0236535
서울풍물시장,37.5720013,127.0236535
석관시장,37.6091913,127.0602942
성산프라자(마포영화블렌하임),37.560312,126.9022827
송화시장,37.5506553,126.8357968
수유북부시장,37.6366852,127.0168097
수유시장,37.6308705,127.0237506
수유중앙시장,37.6402778,127.0211111
수일시장,37.5862554,126.8888623
숭인시장,37.6127196,127.0297659
시흥중앙시장,37.4521046,126.9082234
신도림 테크노마트,37.5083565,126.8919826
신동시장,37.5056986,126.9094524
신반포종합시장,37.5054206,126.9945515
신설종합시장(주),37.5726683,127.020345
신성종합시장,37.557706,127.0889661
양남시장,37.5209399,126.891365
양지시장,37.5938352,126.9231281
연서시장,37.6193901,126.9217921
영동전통시장,37.512941,127.0265074
영일시장,37.5180199,126.9011085
오류시장,37.4970633,126.8436312
우림시장,37.4702835,126.9204526
원당종합시장,37.474166,126.9660525
응암시장,37.5940913,126.9188943
이수시장,37.4912681,126.9893045
이천일 아울렛 구로점,37.4998705,126.8669748
이천일아울렛 천호점,37.5412704,127.1258822
자양종합시장,37.5319937,127.0764359
제일평화시장,37.568467,127.0114114
조양시장,37.5392892,127.0674611
중곡제일시장,37.5641831,127.0816798
중부시장,37.5649599,127.0018313
청담삼익시장,37.5247638,127.0561166
청량리현대코아,37.5814392,127.04439
청평화시장,37.562036,127.0142995
코스트코홀세일,37.5278725,126.8922792
평화시장,37.5690666,127.0067401
푸른터시장,37.4780627,126.9014189
한아름시장,37.5427571,127.0699856
해가든프라자,37.5066658,126.9621884
현대종합상가,37.5406205,127.0986045
홈플러스 익스프레스 갈현점,37.6291509,126.9167319
홈플러스(주) 익스프레스 태릉점,37.5956718,127.0720429
홈플러스(주) 익스프레스 화곡점,37.5415632,126.8393171
홈플러스(주)익스프레스 망우점,37.6088478,127.1113157
홈플러스(주)익스프레스 면목점,37.5840024,127.0880586
홈플러스(주)익스프레스 불광점,37.6101024,126.9374209
홈플러스(주)익스프레스 신사점,37.5986664,126.910344
홈플러스(주)익스프레스구산점,37.611115,126.9163485
홈플러스(주)익스프레스응암점,37.6003985,126.9334286
홈플러스익스프레스 도화점,37.5377841,126.9517874
홈플러스익스프레스 연남점,37.5627439,126.9214088
홈플러스익스프레스 화곡2점,37.5468496,126.8488901
DDP FASHION MALL,37.5671733,127.0120998
LS Avenue,37.5317603,126.9687682
(주) 이마트 신도림점,37.5083565,126.8919826
(주)이랜드킴스클럽 강남점,37.5102421,127.006883
(주)이마트 구로점,37.484694,126.8958995
(주)이마트 마포점,37.5424437,126.9533649
(주)이마트 마포점,37.5493394,126.9584711
(주)이마트 목동점,37.5270981,126.8738365
(주)이마트 수색점,37.5862554,126.8888623
