,name,x,y
0,파인루체이층약국,126.9304242,37.52059924
1,하리약국,127.0201564,37.51586783
2,해든우리약국,126.9637716,37.56530762
3,더참사랑약국,127.0828825,37.53695833
4,호반약국,126.9264997,37.6139965
5,솔향기약국,127.0481511,37.48031242
6,안암지하철약국,127.029213,37.58628048
7,난곡비타민약국,126.9166298,37.47493893
8,라임약국,127.1239072,37.50968404
9,웰니스약국,127.0323702,37.6454118
10,호호약국,127.0122079,37.59167275
11,풍경약국,126.8987722,37.47156899
12,대학약국,126.9974366,37.57679697
13,독산중앙약국,126.9034728,37.47945892
14,봄약국,126.8630537,37.54640472
15,시민약국,127.0800659,37.62564452
16,셀메드수약국,126.9939814,37.48239242
17,나인약국,127.0265048,37.49806091
18,다나은약국,127.0442215,37.58071119
19,우리캐슬약국,126.8966992,37.45995605
20,연신내약국,126.9208173,37.61854119
21,새우리약국,127.0110144,37.55392542
22,서초자이약국,127.0277492,37.48891559
23,다모약국,126.9260155,37.52322442
24,조은약국,127.0239099,37.63682176
25,셀메드스카이약국,127.0474704,37.54602562
26,더나은약국,127.0796819,37.58769834
27,애프터팜 윤약국,126.952974,37.48067895
28,옥수이화약국,127.0140029,37.54671053
29,헤르바당산역약국,126.9021715,37.53374059
30,연세약국,126.8282673,37.53763867
31,신화약국,127.0833263,37.50859969
32,씨엘약국,127.0921776,37.59740662
33,신사드림약국,127.0276492,37.52653338
34,고척시장약국,126.8634825,37.50420906
35,이안약국,127.0356974,37.48446761
36,광장약국,126.9589248,37.49205505
37,새태평양온누리약국,126.9654874,37.47543462
38,백두산약국,126.9395715,37.48634975
39,유창온누리약국,127.1170459,37.49504339
40,이수참약국,126.9827644,37.48509461
41,금천중앙약국,126.8957474,37.45594256
42,도담약국,127.0794159,37.62593634
43,봄약국,127.0436071,37.66535584
44,국제약국,126.8112685,37.56405095
45,우리동네맘약국,126.8406921,37.51521881
46,진한약국,127.1403472,37.55525285
47,당산봄약국,126.9041261,37.53311195
48,동의보감한약국,127.098754,37.46764619
49,세로수길약국,127.0229815,37.5181737
50,가고싶은이화사랑약국,126.8373108,37.55902927
51,세계로온누리약국,127.0679321,37.54112608
52,시민당약국,127.1398094,37.53808758
53,한티역약국,127.0513363,37.49609809
54,역삼우주약국,127.0407513,37.50092836
55,좋은약국,126.9813621,37.47848162
56,준약국,126.8250001,37.49143027
57,웰니스약국,127.0460181,37.52670713
58,중곡메디칼약국,127.0876996,37.55758421
59,퍼스널케어약국,127.0518555,37.48691597
60,햇살온누리약국,126.8701942,37.53602445
61,다올약국,126.8281543,37.53491091
62,위(we)우리약국,126.893172,37.57693498
63,마리약국,127.0277066,37.52194284
64,드림약국,127.1132652,37.52031368
65,우리약국,127.0134438,37.56017367
66,신바오로약국,126.9176955,37.63419225
67,사당미소약국,126.9814302,37.47437717
68,삼성정문약국,127.0835242,37.48573633
69,다인약국,127.0366745,37.48447416
70,천호바로약국,127.1240828,37.53985741
71,보림약국,127.0705369,37.57094081
