name,addr,x,y
성산로(금화터널),서울시 서대문구 신촌동 1-142,126.948436,37.568588
사직로(사직터널),서울시 종로구 행촌동 1-186,126.962853,37.572298
자하문로(자하문터널),서울시 종로구 청운동 24-6,126.968548,37.588831
대사관로(삼청터널),서울시 성북구 성북동 산25-148,126.984209,37.596359
율곡로(안국역),서울시 종로구 경운동 90-4,126.984342,37.576
창경궁로(서울여자대학교),서울시 종로구 명륜4가 197-5,126.998011,37.582526
대학로(한국방송통신대학교),서울시 종로구 연건동 72-3,127.002053,37.578188
종로(동묘앞역),서울시 종로구 숭인동 273,127.017112,37.573262
퇴계로(신당역),서울시 중구 황학동 710,127.020912,37.565712
동호로(장충체육관),서울시 중구 장충동2가 200-99,127.007101,37.558563
장충단로(장충단공원),서울시 중구 장충동2가 산6-6,127.004655,37.556889
퇴계로(회현역),서울시 중구 남창동 236-2,126.976486,37.557432
세종대로(서울역),서울시 중구 남대문로5가 84-15,126.973439,37.558061
새문안로(서울역사박물관),서울시 종로구 신문로2가 1-2,126.971354,37.569776
종로(종로3가역),서울시 종로구 종로3가 137-3,126.990832,37.570216
서소문로(시청역),서울시 중구 서소문동 72-2,126.972716,37.562819
세종대로(시청역2),서울시 중구 태평로1가 61-29,126.977208,37.567496
을지로(을지로3가역),서울시 중구 을지로2가 149-10,126.989326,37.566114
칠패로(숭례문),서울시 중구 봉래동1가 47-2,126.972518,37.559593
남산1호터널,서울시 용산구 한남동 산 10-33,127.001356,37.542406
남산2호터널,서울시 용산구 이태원동 262-35,126.989767,37.544301
남산3호터널,서울시 용산구 용산동2가 5-432,126.98835,37.544496
소월로(회현역),서울시 중구 남창동 217-1,126.976362,37.557044
소파로(숭의여자대학교),서울시 중구 회현동1가 산1-16,126.983521,37.554896
도봉로(도봉산역),서울시 도봉구 도봉동 378-1,127.045087,37.691792
동일로(의정부IC),서울시 노원구 상계동 1311-3,127.055376,37.688571
아차산로(워커힐),서울시 광진구 광장동 145-2,127.108955,37.550897
망우로(망우리공원),경기도 구리시 교문동 346-3,127.115674,37.601476
경춘북로(중랑경찰서),서울시 중랑구 신내동 271-1,127.105325,37.619942
화랑로(조선왕릉),서울시 노원구 공릉동산223-19,127.098984,37.630725
북부간선도로(신내IC),서울시 중랑구 신내동 122-3,127.1087,37.613824
서하남로(서하남IC),경기도 하남시 감북동 442-15,127.146728,37.516777
천호대로(상일IC),서울시 강동구 상일동 12-2,127.175222,37.547459
올림픽대로(강일IC),서울시 강동구 고덕동 365-3,127.157292,37.569891
경부고속도로(양재IC),서울시 서초구 양재동 227-4,127.038643,37.465083
송파대로(복정역),서울시 송파구 장지동 697-14,127.126419,37.468797
밤고개로(세곡동사거리),서울시 강남구 세곡동 130-6,127.107883,37.462416
분당수서로(성남시계),서울시 송파구 장지동 698-5,127.123078,37.471129
과천대로(남태령역),서울시 서초구 방배동 산190-1 ,126.988151,37.463288
양재대로(양재IC),경기도 과천시 주암동 89-18,127.030175,37.460089
반포대로(우면산터널),서울시 서초구 서초동 1460-6,127.011416,37.483905
시흥대로(석수역),서울시 금천구 시흥동 1001-34,126.902811,37.437013
금오로(광명시계),서울시 구로구 천왕동 24-2,126.841891,37.482431
오리로(광명시계),서울시 구로구 천왕동 10-1,126.843109,37.482607
개봉로(개봉교),서울시 구로구 개봉동 403-97,126.8565,37.486181
광명대교(광명시계),서울시 금천구 가산동 535-121,126.873297,37.485044
철산교(광명시계),서울시 금천구 가산동 614-72,126.878154,37.474933
금천교(광명시계),서울시 금천구 독산동 668-54,126.884245,37.465046
금하로(광명시계),경기도 광명시 소하동 31-25,126.891627,37.4514
오정로(부천시계),서울시 강서구 공항동 406-13,126.809411,37.542779
화곡로(화곡로입구),서울시 양천구 신월동 37-1,126.823123,37.539227
경인고속국도(신월IC),서울시 양천구 신월동 904-1,126.831933,37.524875
경인로(유한공고),경기도 부천시 소사구 괴안동 206-5,126.822789,37.488614
신정로(작동터널),서울시 구로구 궁동 산 1-94,126.824602,37.506104
김포대로(개화교),경기도 김포시 고촌읍 전호리 436-3,126.795571,37.585313
올림픽대로(개화IC),서울 강서구 개화동 280-2,126.812795,37.587814
통일로(고양시계),경기 고양시 덕양구 동산동 2-13,126.91127,37.644685
서오릉로(고양시계),서울시 은평구 구산동 304-15,126.90626,37.617883
수색로(고양시계),서울시 은평구 수색동 281-12,126.886414,37.587472
강변북로(난지한강공원),서울시 마포구 상암동 481-226,126.872321,37.570903
강변북로(구리시계),경기도 구리시 아천동 390,127.114274,37.558389
동부간선도로(상도지하차도),서울시 노원구 상계동 1180-13,127.052529,37.683253
행주대교,서울시 강서구 개화동 652,126.809931,37.598121
월드컵대교,서울시 마포구 상암동 1541,126.885535,37.556598
가양대교,서울시 마포구 상암동 506-68,126.862726,37.571567
성산대교,서울시 마포구 망원동 306-53,126.891564,37.55268
양화대교,서울시 마포구 합정동 351-4,126.903766,37.542913
서강대교,서울시 영등포구 여의도동 83-1,126.925341,37.537537
마포대교,서울시 영등포구 여의도동 85-2,126.936512,37.533628
원효대교,서울시 영등포구 여의도동 87-2,126.945137,37.526745
한강대교,서울시 용산구 이촌동 302-211,126.959472,37.51816
동작대교,서울시 용산구 이촌동 385,126.981814,37.509936
반포대교,서울시 서초구 반포동 647,126.996663,37.514431
잠수교,서울시 서초구 잠원동 114,126.999744,37.50826
한남대교,서울시 강남구 신사동 490,127.01319,37.526946
동호대교,서울시 성동구 옥수동 86,127.019882,37.538207
성수대교,서울시 성동구 옥수동 484,127.034972,37.536768
영동대교,서울시 광진구 자양동 825-1,127.057339,37.530295
