전철역코드,전철역명,호선,외부코드,name,road_addr,x,y
0244,용답,02호선,211-1,용답역 2호선,서울 성동구 용답길 86,127.05088954367504,37.562122776762756
0245,신답,02호선,211-2,신답역 2호선,서울 성동구 천호대로 232,127.047080117369,37.5698386846442
0250,용두,02호선,211-3,용두역 2호선,서울 동대문구 천호대로 지하 129,127.038275698211,37.5740621283646
0336,학여울,03호선,346,학여울역 3호선,서울 강남구 남부순환로 지하 3104,127.071166599707,37.4968851977644
0428,삼각지,04호선,428,삼각지역 4호선,서울 용산구 한강대로 지하 180,126.972922951307,37.5344393447708
0429,신용산,04호선,429,신용산역 4호선,서울 용산구 한강대로 지하 112,126.967965039183,37.5292591489375
1008,이촌,경의선,K111,이촌역 경의선,서울 용산구 이촌로71길 42,126.97354382085399,37.52241291408466
1014,청량리,경의선,K117,청량리역 경의선,서울 동대문구 왕산로 214,127.04786558187519,37.580279093795085
103C,대곡,서해선,836,대곡역 서해선,경기 고양시 덕양구 대주로107번길 71-81,126.809720795002,37.6318575945755
104C,능곡,서해선,837,능곡역 서해선,경기 고양시 덕양구 토당로 35,126.82063426387445,37.61898698884321
1286,운천,경의선,K336,운천역 경의선,경기 파주시 문산읍 통일로2033번길 3,126.769908998666,37.8798512036962
1456,평촌,04호선,441,평촌역 4호선,경기 안양시 동안구 부림로 지하 123,126.9638080221341,37.39423950914369
1702,가산디지털단지,01호선,P142,가산디지털단지역 1호선,서울 금천구 벚꽃로 309,126.882614758479,37.4815311901749
1703,금천구청,01호선,P144,금천구청역 1호선,서울 금천구 시흥대로63길 91,126.893608614581,37.4561943743749
1704,석수,01호선,P145,석수역 1호선,경기 안양시 만안구 경수대로 1431,126.90232078368835,37.43509293822681
1706,안양,01호선,P147,안양역 1호선,경기 안양시 만안구 만안로 232,126.922729807594,37.4016838636508
1707,명학,01호선,P148,명학역 1호선,경기 안양시 만안구 만안로 20,126.935592791667,37.3844604191546
1708,금정,01호선,P149,금정역 1호선,경기 군포시 군포로 750,126.94327003910128,37.37233746119409
1709,군포,01호선,P150,군포역 1호선,경기 군포시 군포역1길 27,126.948517502286,37.35419227847359
1711,성균관대,01호선,P153,성균관대역 1호선,경기 수원시 장안구 서부로 2149,126.971022000022,37.3003290017027
1750,광명,01호선,P144-1,광명역 1호선,경기 광명시 광명역로 21,126.884961689119,37.4167362171922
1761,정왕,04호선,455,정왕역 4호선,경기 시흥시 마유로418번길 15,126.74335018635819,37.351701334544885
1802,오류동,01호선,144,오류동역 1호선,서울 구로구 경인로20길 13,126.84480744815397,37.49439720933549
1847,서울숲,수인분당선,K211,서울숲역 수인분당선,서울 성동구 왕십리로 지하 77,127.044746216358,37.543645796605
0412,창동,04호선,412,창동역 4호선,서울 도봉구 마들로11길 77,127.04838841056,37.6533706449195
0417,길음,04호선,417,길음역 4호선,서울 성북구 동소문로 지하 248,127.02506019737066,37.603394782316634
102C,왕십리,수인분당선,K210,왕십리역 수인분당선,서울 성동구 왕십리광장로 17,127.03878380532441,37.56063982853407
1030,수서,수인분당선,K221,수서역 수인분당선,서울 강남구 광평로 지하 270,127.10164479068416,37.48737530248858
1217,양평,경의선,K135,양평역 경의선,경기 양평군 양평읍 역전길 30,127.492247611418,37.4926843397043
1218,원덕,경의선,K136,원덕역 경의선,경기 양평군 양평읍 원덕흑천길 138,127.546558679899,37.468781735546
1407,온양온천,01호선,P176,온양온천역 1호선,충남 아산시 온천대로 1496,127.003181472942,36.7805448837693
1450,선바위,04호선,435,선바위역 4호선,경기 과천시 중앙로 지하 440,127.00222869400723,37.451747988798516
1452,대공원,04호선,437,대공원역 4호선,경기 과천시 대공원대로 지하 50,127.006752481821,37.4360557449009
1455,인덕원,04호선,440,인덕원역 4호선,경기 안양시 동안구 흥안대로 지하 529,126.976679855187,37.4014941709597
1458,금정,04호선,443,금정역 4호선,경기 군포시 군포로 750,126.94347315682283,37.37246820714397
1504,경기광주,경강선,K413,경기광주역 경강선,경기 광주시 광주역로 10,127.253282668137,37.3989438131636
1883,남동인더스파크,수인분당선,K264,남동인더스파크역 수인분당선,인천 남동구 은청로 17,126.695227491501,37.4077423820652
1902,도봉,01호선,114,도봉역 1호선,서울 도봉구 도봉로170길 2,127.045534886672,37.6792119046658
1904,망월사,01호선,112,망월사역 1호선,경기 의정부시 평화로 221,127.047418285506,37.7102191609902
1905,회룡,01호선,111,회룡역 1호선,경기 의정부시 평화로 363,127.047295368138,37.7238058806629
1906,의정부,01호선,110,의정부역 1호선,경기 의정부시 평화로 525,127.045956826767,37.7383624923599
1909,양주,01호선,107,양주역 1호선,경기 양주시 평화로 919,127.044721319691,37.7741421622165
1911,덕정,01호선,105,덕정역 1호선,경기 양주시 화합로 1356,127.06155932141,37.8431876500694
1912,지행,01호선,104,지행역 1호선,경기 동두천시 평화로 2285,127.05579309162063,37.892342734325595
1913,동두천중앙,01호선,103,동두천중앙역 1호선,경기 동두천시 동두천로 228,127.05642330094,37.9017807357936
1915,동두천,01호선,101,동두천역 1호선,경기 동두천시 평화로 2687,127.05492800053,37.9276132662293
